group,item
2,19
3,19
4,19
5,19
7,23
8,24
9,24
11,32
12,32
25,114
28,114
30,408
34,408
35,408
36,408
38,408
41,408
45,449
46,449
47,449
52,481
53,481
55,481
57,481
59,481
61,481
62,481
64,481
67,481
71,507
73,507
75,507
76,507
77,507
78,507
80,507
81,507
83,507
84,507
85,507
87,507
88,507
89,507
90,507
92,507
93,507
99,507
100,507
105,507
111,507
112,507
114,507
115,507
118,544
119,544
121,544
122,544
123,544
128,564
129,564
130,564
134,564
136,564
138,578
139,578
142,578
144,578
145,578
146,578
152,578
153,578
154,590
155,591
156,591
157,591
159,591
160,596
162,596
164,599
165,599
172,625
175,655
179,923
180,923
182,936
183,936
184,936
187,936
188,936
191,130
194,957
198,957
203,1020
204,1020
205,1020
207,1020
209,1037
210,1037
211,1037
212,1037
214,1037
216,1037
217,1037
218,1037
219,1037
220,1037
221,1037
223,1037
225,1037
227,1037
231,1037
233,1058
235,1095
237,1095
240,1099
242,1099
244,1099
245,1099
248,1107
249,1107
251,1107
253,1107
254,1107
257,1107
261,1107
266,1107
268,1107
269,1107
271,1107
272,1107
278,1246
279,1246
280,1246
282,1246
283,1246
284,1246
285,1246
286,1246
288,1246
289,1246
291,1246
292,1246
293,1246
294,1246
295,1246
296,1246
298,1246
299,1246
301,1246
302,1246
303,1246
306,1246
307,1246
308,1246
310,1246
311,1246
312,1246
313,1246
314,1246
315,1246
316,1246
317,1246
324,1325
325,1325
327,1325
328,1338
329,1339
330,1339
333,1349
334,1349
335,1349
336,1023
337,1023
338,1023
339,1023
341,1023
344,1023
346,1023
347,1023
348,1023
350,1023
352,1023
354,1023
360,1410
362,1414
364,1414
365,1414
368,1414
373,1414
374,1429
375,1429
376,1429
377,1429
379,1430
380,1430
381,1430
382,1430
383,1430
385,1153
395,1153
400,1589
401,1589
403,1589
404,1589
407,1593
408,1594
413,1594
418,1645
428,1718
429,1718
435,1774
436,1774
437,1774
438,1774
439,1774
445,1869
446,1869
447,1869
448,1869
453,1870
455,1870
459,1891
461,1891
468,1891
469,2073
470,2073
471,2073
472,2073
473,2073
474,2073
475,2073
476,2073
477,2073
478,2073
479,2074
480,2074
482,2074
483,2074
484,584
487,2077
488,2077
489,2077
490,2082
496,2082
497,2087
499,2087
500,2087
502,2094
503,2094
505,2100
506,2100
507,2100
509,2100
510,2102
512,2102
513,2102
515,2102
518,2102
519,2102
520,2102
524,2102
525,2102
526,2102
527,2102
528,2102
529,2102
533,2102
535,2102
538,2102
539,2102
541,2102
543,2102
544,2102
545,2102
546,2102
548,2102
550,2102
553,2102
554,2102
556,2136
559,2136
564,2148
565,2148
567,2148
569,2148
570,2148
571,2148
573,2088
575,2088
576,2088
577,2088
579,2172
581,2172
583,2175
587,2175
589,2175
590,2175
592,1231
596,2189
622,2411
625,2411
626,2419
627,2420
628,2420
629,2420
631,1650
635,2424
637,2427
638,2427
657,2564
658,2564
660,2564
664,2631
667,2033
668,2033
670,2033
672,2033
673,2033
675,2033
677,2033
682,2033
684,2033
687,2033
689,2033
694,2681
695,2681
696,2681
697,2681
698,2681
699,2681
701,2681
702,2681
703,2684
705,2684
