group,item
0,64
0,41
0,346
0,183
0,270
0,153
0,363
0,301
0,236
0,31
0,330
0,314
0,92
0,77
0,25
0,219
0,76
0,174
0,3805
0,17
0,319
0,230
0,98
0,312
0,151
0,111
0,374
0,373
0,333
0,365
0,12
0,27
0,286
0,350
0,215
0,399
0,349
0,113
0,171
0,285
0,57
0,48
0,335
0,280
0,59
0,18
0,5
0,117
0,307
0,310
0,10
0,371
0,9
0,65
0,90
0,80
0,325
0,134
0,116
0,66
0,448
0,142
0,141
0,1814
0,51
0,46
0,68
0,70
0,89
0,366
0,372
0,189
0,127
0,269
0,392
0,20
0,155
0,296
0,182
0,147
0,118
0,19
0,58
0,267
0,199
0,112
0,178
0,114
0,400
0,149
0,61
0,32
0,160
0,382
0,152
0,203
0,332
0,16
0,244
0,231
0,1698
0,338
0,290
0,4
0,1710
0,186
0,97
0,34
0,293
0,3
0,376
0,221
0,60
0,213
0,383
0,176
0,264
0,389
0,311
0,35
0,316
0,0
0,197
0,132
0,348
0,131
0,446
0,193
0,167
0,154
0,315
0,7
0,133
0,109
0,253
0,28
0,207
0,397
0,101
0,100
0,14
0,272
0,156
0,42
0,188
0,15
0,1810
0,209
0,393
0,765
0,1445
0,306
0,255
0,353
0,95
0,159
0,288
0,334
0,226
0,96
0,146
0,378
0,69
0,144
0,107
0,344
0,239
0,135
0,292
0,72
0,157
0,326
0,398
0,110
0,33
0,94
0,145
0,355
0,163
0,52
0,275
0,341
0,342
0,22
0,136
0,291
0,187
0,201
0,225
0,2
0,248
0,305
0,1123
0,343
0,258
0,38
0,377
0,11
0,273
0,214
0,143
0,303
0,190
0,79
0,165
0,425
0,44
0,243
0,297
0,308
0,216
0,202
0,370
0,362
0,249
0,26
0,50
0,37
0,261
0,210
0,196
0,356
0,228
0,87
0,246
0,232
0,381
0,300
0,170
0,169
0,2625
0,43
0,40
0,323
0,21
0,278
0,247
0,123
0,181
0,218
0,198
0,124
0,39
0,128
0,395
0,162
0,223
0,385
0,137
0,148
0,263
0,125
0,328
0,99
0,220
0,108
0,88
0,418
0,2600
0,185
0,179
0,9113
0,62
0,233
0,245
0,1832
0,235
0,324
0,49
0,191
0,322
0,63
0,262
0,295
0,138
0,331
0,24
0,394
0,93
0,86
0,212
0,166
0,294
0,318
0,390
0,672
0,299
0,177
0,313
0,337
0,121
0,168
0,229
0,663
0,74
0,282
0,1705
0,172
0,227
0,388
0,83
0,67
0,354
0,150
0,340
0,222
0,268
0,277
0,284
0,234
0,320
0,1183
0,139
0,309
0,339
0,241
0,129
0,396
0,1
0,321
0,55
0,266
0,386
0,257
0,204
0,180
0,103
0,6
0,379
0,329
0,23
0,281
0,1709
0,56
0,119
0,279
0,357
0,173
0,2630
0,254
0,104
0,194
0,367
0,347
0,1894
0,45
0,73
0,30
0,274
0,265
0,360
0,85
0,345
0,364
0,161
0,242
0,359
0,175
0,205
0,206
0,369
0,195
0,130
0,368
0,140
0,276
0,238
0,217
0,391
0,271
0,184
0,158
0,105
0,208
0,211
0,401
0,256
0,260
0,375
0,82
0,250
0,289
0,106
0,81
0,327
0,336
0,54
0,240
0,361
0,352
0,302
0,200
0,384
0,358
0,251
0,84
0,351
0,298
0,287
0,387
0,380
0,78
0,224
0,259
0,13
0,304
1,407
1,406
1,415
1,403
1,404
1,410
1,414
1,9198
1,411
1,412
1,405
1,416
1,1536
1,408
1,417
1,9197
1,9196
1,402
1,409
1,413
2,453
2,484
2,524
2,599
2,466
2,137
2,428
2,586
2,422
2,452
2,471
2,441
2,580
2,593
2,474
2,499
2,573
2,537
2,587
2,577
2,418
2,192
2,432
2,516
2,518
2,179
2,552
2,545
2,553
2,564
2,25
2,447
2,549
2,590
2,463
2,455
2,76
2,439
2,521
2,429
2,583
2,486
2,544
2,445
2,483
2,1123
2,571
2,603
2,419
2,570
2,473
2,533
2,444
2,543
2,430
2,457
2,502
2,582
2,462
2,434
2,459
2,534
2,601
2,476
2,595
2,449
2,460
2,0
2,576
2,519
2,53
2,424
2,190
2,505
2,465
2,425
2,423
2,567
2,514
2,600
2,454
2,446
2,442
2,528
2,569
2,529
2,575
2,596
2,509
2,498
2,458
2,511
2,164
2,451
2,566
2,491
2,588
2,579
2,207
2,501
2,550
2,435
2,431
2,508
2,497
2,589
2,456
2,536
2,420
2,523
2,559
2,9244
2,578
2,542
2,472
2,503
2,584
2,538
2,448
2,468
2,556
2,560
2,515
2,541
2,581
2,469
2,520
2,558
2,478
2,530
2,1459
2,551
2,506
2,6
2,21
2,433
2,568
2,490
2,470
2,482
