group,item
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
4,19
4,39
4,40
4,41
4,42
4,43
4,44
4,24
4,45
5,39
5,40
5,46
5,47
5,44
6,48
6,49
6,50
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,58
7,59
7,60
7,61
7,2
7,19
7,39
7,62
7,63
7,64
7,42
7,65
7,66
8,67
8,68
8,69
8,70
9,22
9,66
9,33
9,10
9,25
9,71
9,26
9,27
9,28
9,72
9,73
10,19
10,39
10,74
10,75
10,24
11,76
11,19
11,77
11,78
11,79
11,80
11,81
11,64
11,66
11,82
11,83
11,84
12,19
12,78
12,42
12,44
12,10
12,85
12,24
12,45
12,86
13,87
13,88
13,89
13,31
13,90
13,23
13,91
13,92
13,93
13,94
13,95
13,96
15,68
15,101
15,102
15,103
15,104
15,105
16,87
16,88
16,106
16,107
16,90
16,92
16,93
16,108
16,109
16,110
16,111
16,112
17,39
17,113
17,114
17,115
17,116
18,117
18,118
18,119
18,120
18,121
18,122
18,123
18,124
18,125
18,126
18,127
18,128
19,129
19,130
19,48
19,131
19,132
19,133
19,134
19,135
19,136
19,137
19,138
19,139
21,142
21,51
21,90
21,143
21,144
21,145
21,146
21,147
21,148
25,152
25,42
25,153
25,66
25,154
25,155
25,156
25,113
25,103
25,114
25,123
25,157
27,19
27,159
27,10
27,160
27,161
27,24
27,162
27,163
27,164
27,165
28,19
28,39
28,62
28,47
28,41
28,42
28,166
28,167
28,168
28,44
28,66
29,152
29,169
29,170
29,118
29,171
29,172
29,173
29,174
30,175
30,176
30,177
30,178
30,179
30,180
30,181
30,182
30,183
30,184
30,185
30,186
31,187
31,188
31,189
31,190
31,191
33,195
33,196
33,156
33,45
33,197
33,198
33,199
33,200
33,201
34,19
34,39
34,47
34,41
34,64
34,42
34,44
34,66
34,10
34,23
34,24
36,3
36,187
36,203
36,204
36,170
36,118
36,205
36,10
36,120
36,206
36,171
36,172
37,207
37,208
37,209
37,210
37,156
37,211
37,212
37,213
37,214
38,175
38,215
38,176
38,216
38,177
39,217
39,218
39,219
39,220
40,19
40,47
40,42
40,221
40,24
40,45
40,222
40,123
40,223
40,157
40,224
41,42
41,225
41,66
41,10
41,226
41,102
41,227
41,228
41,229
41,230
41,231
42,24
42,232
42,29
42,233
42,234
42,235
42,236
42,237
42,238
43,187
43,203
43,170
43,118
43,205
43,10
43,206
43,171
44,3
44,170
44,239
44,118
44,10
45,240
45,225
45,118
45,241
45,10
45,226
45,227
45,242
45,243
45,244
45,229
45,157
46,170
46,245
46,246
46,247
46,248
46,249
46,250
46,251
46,252
46,253
46,254
47,255
47,256
47,257
47,258
47,259
47,260
47,261
48,187
48,62
48,170
48,262
48,118
48,263
48,10
48,246
48,264
48,265
49,3
49,169
49,170
49,239
49,118
49,205
49,10
49,206
49,266
49,171
49,172
49,267
50,51
50,133
50,71
50,268
50,269
50,270
50,271
50,272
50,273
50,274
50,275
50,276
51,19
51,47
51,42
51,66
51,23
52,277
52,19
52,39
52,47
52,42
52,43
52,44
52,151
52,24
53,3
53,4
53,5
53,245
53,7
53,8
53,11
53,278
53,279
54,280
54,281
54,282
54,283
54,284
54,285
55,286
55,287
55,288
55,289
55,66
55,290
55,291
55,292
55,293
55,294
55,295
55,296
56,39
56,74
56,41
56,118
56,10
56,120
56,24
56,163
56,297
56,116
56,123
56,298
58,302
58,19
58,39
58,42
58,43
58,44
58,66
58,23
58,45
58,303
58,304
59,39
59,62
59,47
59,42
59,43
59,66
59,151
59,305
59,306
59,45
59,113
59,86
60,204
60,160
60,307
60,308
60,309
60,310
61,169
61,170
61,171
61,174
61,248
61,311
64,315
64,316
64,50
64,58
64,317
64,318
64,319
64,320
66,321
66,322
66,323
66,324
66,325
66,326
66,327
66,328
66,329
66,330
66,331
67,19
67,42
67,66
67,24
67,45
67,332
67,333
67,123
68,334
68,335
68,39
68,189
69,225
69,118
69,241
69,226
69,242
69,336
69,337
70,338
70,3
70,339
70,340
70,170
70,150
70,341
70,66
70,51
70,10
70,160
70,171
71,19
71,62
71,64
71,44
71,342
71,24
71,343
71,306
71,344
71,345
